Disease,Medicine,BrandName,Dosage,Duration
Foot and Mouth Disease,Aspirin,Disprin,Once daily,5 days
Foot and Mouth Disease,Oxytetracycline,Terramycin,2 times/day,7 days
Foot and Mouth Disease,Glycerin mouth wash,Listerine Vet,3 times/day,5 days
Bovine Tuberculosis,Isoniazid,Laniazid,Once daily,180 days
Bovine Tuberculosis,Rifampicin,Rifadin,Once daily,180 days
Bovine Tuberculosis,Pyrazinamide,Rifater,Once daily,60 days
Brucellosis,Oxytetracycline,Terramycin,2 times/day,21 days
Brucellosis,Streptomycin,Streptomycin Sulphate,Once daily,21 days
Brucellosis,Doxycycline,Vibramycin,2 times/day,14 days
Anthrax,Penicillin G,Pfizerpen,4 times/day,5 days
Anthrax,Oxytetracycline,Terramycin,2 times/day,5 days
Anthrax,Anthrax antiserum,Anthrax Antiserum Sero,Once daily,3 days
Blackleg,Penicillin G,Pfizerpen,4 times/day,5 days
Blackleg,Oxytetracycline,Terramycin,2 times/day,7 days
Blackleg,Blackleg antitoxin,Blackleg Antitoxin Biovac,Once daily,3 days
Bovine Respiratory Disease,Enrofloxacin,Baytril,Once daily,5 days
Bovine Respiratory Disease,Tulathromycin,Draxxin,Once daily,1 day
Bovine Respiratory Disease,Florfenicol,Nuflor,2 times/day,3 days
Mastitis,Amoxicillin intramammary,Amoximast,2 times/day,3 days
Mastitis,Cephalosporins,Cephalexin Vet,2 times/day,5 days
Mastitis,Oxytocin,Pitocin Vet,2 times/day,3 days
Lumpy Skin Disease,Oxytetracycline,Terramycin,2 times/day,5 days
Lumpy Skin Disease,Anti-inflammatory drugs,Banamine,Once daily,5 days
Lumpy Skin Disease,Supportive fluids,Ringer Lactate,2 times/day,5 days
Rinderpest,Supportive therapy,Ringer Lactate,3 times/day,7 days
Rinderpest,Antibiotics for secondary infections,Ampivet,2 times/day,7 days
Bovine Viral Diarrhea,Supportive fluids,Ringer Lactate,2 times/day,7 days
Bovine Viral Diarrhea,Anti-inflammatory drugs,Banamine,Once daily,5 days
Bovine Viral Diarrhea,Vitamin supplements,Multivit Vet,Once daily,10 days
Trypanosomiasis,Diminazene aceturate,Berenil,Once daily,3 days
Trypanosomiasis,Isometamidium,Samorin,Once daily,1 day
Trypanosomiasis,Homidium bromide,Ethidium,Once daily,1 day
Theileriosis,Buparvaquone,Butalex,Once daily,3 days
Theileriosis,Parvaquone,Clexon,Once daily,3 days
Theileriosis,Oxytetracycline,Terramycin,2 times/day,5 days
Babesiosis,Imidocarb dipropionate,Imizol,Once daily,2 days
Babesiosis,Diminazene aceturate,Berenil,Once daily,2 days
Babesiosis,Supportive fluids,Ringer Lactate,2 times/day,5 days
Grass Tetany,Magnesium sulfate IV,MgSO4 Injection,Once daily,3 days
Grass Tetany,Calcium borogluconate,Calcibor,Once daily,2 days
Grass Tetany,Magnesium supplementation,MagPhos,Once daily,14 days
Milk Fever,Calcium borogluconate IV,Calcibor IV,Once daily,1 day
Milk Fever,Oral calcium supplementation,Calcivet Oral,3 times/day,3 days
Ketosis,Propylene glycol oral,Propylene Glycol Vet,2 times/day,5 days
Ketosis,Dextrose IV,Dextrose 50%,Once daily,3 days
Ketosis,B-vitamins injection,Vitabee Injection,Once daily,5 days
Bloat,Bloat remedy (poloxalene),Therabloat,Once daily,3 days
Bloat,Stomach tube relief,Bovine Stomach Tube Kit,Once daily,2 days
Bloat,Dimethicone,Gas-X Vet,2 times/day,3 days
Hardware Disease,Rumenotomy,Surgical Procedure,Once,1 day
Hardware Disease,Magnet administration,Cow Magnet (Bar),Once,1 day
Hardware Disease,Penicillin G,Pfizerpen,4 times/day,7 days
Ringworm,Griseofulvin,Fulvicin,Once daily,30 days
Ringworm,Miconazole topical,Conofite,2 times/day,14 days
Ringworm,Itraconazole,Itrafungol,Once daily,14 days
Mange,Ivermectin,Ivomec,Once every 14 days,2 doses
Mange,Amitraz dip,Taktic,Once weekly,4 weeks
Mange,Doramectin,Dectomax,Once every 14 days,2 doses
Liver Fluke Disease,Triclabendazole,Fasinex,Once daily,1 day
Liver Fluke Disease,Albendazole,Valbazen,Once daily,3 days
Liver Fluke Disease,Closantel,Seponver,Once daily,1 day
Haemonchosis,Ivermectin,Ivomec,Once daily,1 day
Haemonchosis,Levamisole,Levasole,Once daily,1 day
Haemonchosis,Albendazole,Valbazen,Once daily,3 days
Contagious Bovine Pleuropneumonia,Oxytetracycline,Terramycin,2 times/day,5 days
Contagious Bovine Pleuropneumonia,Tylosin,Tylan,2 times/day,5 days
